codigo_comuna,comuna,codigo_barrio,nombre_barrio,poblacion_2023,poblacion_2024,poblacion_2025,estrato_promedio,area_m2,Personas en ejercicio de mendicidad,Concentración de habitantes de calle,Concentración de población migrante,Lavaderos informales,Falta de alumbrado público,Mal estacionamiento de vehículos,Inquilinatos,Concentración habitantes de calle según EP
1,Popular,101,Santo Domingo Savio No.1,25316,25762,26191,2,561247.6598,F,V,V,F,F,V,V,F
1,Popular,102,Santo Domingo Savio No.2,9618,9787,9950,1,264750.4525,F,F,F,F,F,F,F,F
1,Popular,103,Popular,26749,27220,27674,1,446896.2089,F,F,F,F,F,V,F,F
1,Popular,104,Granizal,13028,13257,13478,2,244834.6865,F,V,F,F,F,V,F,F
1,Popular,105,Moscú No.2,15975,16256,16527,2,282168.2602,F,V,V,F,F,V,F,F
1,Popular,106,Villa Guadalupe,12423,12642,12853,2,238610.2349,F,F,F,F,F,F,F,F
1,Popular,107,San Pablo,14055,14302,14540,2,210321.4313,F,F,F,F,F,F,F,F
1,Popular,108,El Compromiso,4479,4558,4634,1,71906.15291,F,F,F,F,F,F,F,F
1,Popular,109,Aldea Pablo VI,3280,3338,3394,1,71663.80067,F,F,F,F,F,F,F,F
1,Popular,110,La Esperanza No.2,3836,3904,3969,1,67338.26056,F,F,F,F,F,F,F,F
1,Popular,111,La Avanzada,7782,7919,8051,1,276605.8162,F,F,F,F,F,F,F,F
1,Popular,112,Carpinelo,13188,13420,13644,1,361946.6382,F,F,F,F,F,F,F,F
2,Santa Cruz,201,La Isla,14145,14394,14634,2,213093.7108,F,F,F,F,F,F,F,F
2,Santa Cruz,202,Playón de Los Comuneros,11972,12183,12386,2,205378.6867,F,F,F,F,F,F,F,F
2,Santa Cruz,203,Pablo VI,5586,5684,5779,2,77739.38691,F,F,F,F,F,F,F,F
2,Santa Cruz,204,La Frontera,6563,6679,6790,2,162576.9392,F,F,F,F,F,F,F,F
2,Santa Cruz,205,La Francia,16899,17196,17483,2,341808.6986,F,F,F,F,F,F,F,F
2,Santa Cruz,206,Andalucía,10370,10553,10729,2,228212.8192,F,F,F,F,F,F,F,F
2,Santa Cruz,207,Villa del Socorro,15312,15582,15842,2,229628.0608,F,V,F,F,F,V,F,F
2,Santa Cruz,208,Villa Niza,7428,7559,7685,2,143215.4647,F,F,F,F,F,F,F,F
2,Santa Cruz,209,Moscú No.1,10044,10221,10391,2,190820.9492,F,F,F,F,F,F,F,F
2,Santa Cruz,210,Santa Cruz,15622,15897,16162,2,237218.3947,F,F,F,F,F,F,F,F
2,Santa Cruz,211,La Rosa,8512,8662,8806,2,166181.4151,F,F,F,F,F,F,F,F
3,Manrique,301,La Salle,19351,19692,20020,2,367713.8289,F,F,F,F,F,F,F,F
3,Manrique,302,Las Granjas,29940,30467,30975,2,641349.275,F,F,F,F,F,F,F,F
3,Manrique,303,Campo Valdés No.2,19848,20197,20534,2,388808.9211,F,F,F,F,F,F,F,F
3,Manrique,304,Santa Inés,18385,18709,19021,2,348299.4947,F,F,F,F,F,F,F,F
3,Manrique,305,El Raizal,13975,14221,14458,1,297960.7396,F,F,F,F,F,F,F,F
3,Manrique,306,El Pomar,4023,4094,4162,2,157934.9559,F,F,F,F,F,F,F,F
3,Manrique,307,Manrique Central No.2,6572,6688,6800,3,240903.4686,F,F,F,F,F,F,F,F
3,Manrique,308,Manrique Oriental,15033,15298,15553,2,373291.5594,F,F,F,F,F,F,F,F
3,Manrique,309,Versalles No.1,19570,19914,20246,1,369634.3412,F,F,F,F,F,F,F,F
3,Manrique,310,Versalles No.2,5386,5481,5572,1,248042.934,F,F,F,F,F,F,F,F
3,Manrique,311,La Cruz,10176,10355,10528,1,600546.2146,F,F,F,F,F,F,F,F
3,Manrique,312,Oriente,4696,4779,4859,1,412250.1269,F,F,F,F,F,F,F,F
3,Manrique,313,María Cano-Carambolas,7453,7584,7710,1,352919.4495,F,F,F,F,F,F,F,F
3,Manrique,314,San José La Cima No.1,3321,3379,3435,1,155475.9635,F,F,F,F,F,F,F,F
3,Manrique,315,San José La Cima No.2,2093,2130,2166,1,141615.0184,F,F,F,F,F,F,F,F
4,Aranjuez,401,Berlín,11950,12160,12363,3,300195.1057,F,F,F,F,F,F,F,F
4,Aranjuez,402,San Isidro,17885,18200,18503,2,432192.2459,F,F,F,F,F,V,F,F
4,Aranjuez,403,Palermo,5912,6016,6116,2,219528.0249,F,F,F,F,F,F,F,F
4,Aranjuez,404,Bermejal-Los Álamos,8774,8928,9077,2,159810.3293,F,F,F,F,F,F,F,F
4,Aranjuez,405,Moravia,27386,27868,28333,1,482535.2651,F,V,F,F,F,F,F,V
4,Aranjuez,407,Sevilla,1787,1818,1848,3,270255.5044,F,F,F,F,F,F,F,V
4,Aranjuez,408,San Pedro,4572,4652,4730,3,245843.0915,V,F,F,F,F,V,F,V
4,Aranjuez,409,Manrique Central No.1,8732,8886,9034,3,355580.3233,F,F,F,F,F,F,F,F
4,Aranjuez,410,Campo Valdés No.1,13963,14209,14446,3,372180.9451,F,F,F,F,F,F,F,F
4,Aranjuez,411,Las Esmeraldas,7686,7821,7951,2,152830.7264,F,F,F,F,F,F,F,F
4,Aranjuez,412,La Piñuela,8730,8884,9032,3,217252.3084,F,F,F,F,F,F,F,F
4,Aranjuez,413,Aranjuez,9054,9213,9367,3,361138.511,F,F,F,F,F,F,F,F
4,Aranjuez,414,Brasilia,11486,11688,11883,2,327324.5753,F,F,F,F,F,F,F,F
4,Aranjuez,415,Miranda,6066,6173,6276,2,230378.299,V,F,F,F,F,F,F,F
4,Aranjuez,Inst_10,Jardín Botánico,10,10,10,3,159710.6926,F,F,F,F,F,F,F,F
4,Aranjuez,Inst_11,Universidad de Antioquia,75,76,77,3,312368.6078,F,F,F,F,F,F,F,F
4,Aranjuez,Inst_9,Parque Norte,9,9,9,3,284606.6511,F,F,F,F,F,F,F,F
5,Castilla,501,Toscana,7277,7405,7528,2,290053.9546,F,F,F,F,F,F,F,F
5,Castilla,502,Las Brisas,8169,8313,8452,3,375236.8151,F,F,F,F,F,F,F,F
5,Castilla,503,Florencia,11379,11579,11772,3,292989.1039,F,F,F,F,F,F,F,F
5,Castilla,504,Tejelo,11838,12046,12247,3,423037.3081,F,F,F,F,F,F,F,F
5,Castilla,505,Boyacá,5772,5874,5972,3,256398.8942,F,V,F,F,F,F,F,F
5,Castilla,507,Héctor Abad Gómez,3989,4059,4127,2,240129.9387,F,F,F,F,F,F,F,F
5,Castilla,508,Belalcázar,6107,6215,6319,2,166521.7046,F,F,F,V,F,F,F,F
5,Castilla,509,Girardot,11139,11335,11524,3,512886.0758,F,V,F,F,F,F,F,F
5,Castilla,510,Tricentenario,6627,6744,6856,3,420638.2953,F,F,V,F,V,F,F,F
5,Castilla,511,Castilla,24357,24786,25199,2,552601.7302,F,V,F,F,F,V,F,F
5,Castilla,513,Francisco Antonio Zea,10735,10924,11106,3,233064.8486,F,F,F,F,F,F,F,F
5,Castilla,514,Alfonso López,13086,13316,13538,2,354326.1094,F,F,F,F,F,F,F,F
5,Castilla,517,Caribe,565,575,585,3,601382.3593,F,F,F,F,F,F,F,F
5,Castilla,519,El Progreso,4100,4172,4242,3,407603.2246,F,F,F,F,F,F,F,F
5,Castilla,Inst_1,Plaza de Ferias,7,7,7,3,339279.5971,F,F,F,F,F,F,F,F
5,Castilla,Inst_2,Oleoducto,336,342,348,2,288176.6052,F,V,F,F,F,F,F,F
5,Castilla,Inst_3,Cementerio Universal,25,25,25,3,94191.12712,F,F,F,F,F,F,F,F
5,Castilla,Inst_4,Terminal de Transporte,5,5,5,3,215849.3621,V,V,F,F,V,F,F,F
6,Doce De Octubre,601,Santander,15634,15909,16174,2,414068.6117,F,F,F,F,F,F,F,F
6,Doce De Octubre,602,Doce de Octubre No.1,16950,17248,17536,2,436282.509,F,F,F,F,F,F,F,F
